"long","lat","group","order","region","subregion"
-69.8991241455078,12.4520015716553,1,1,"Aruba",NA
74.3761672973633,37.1373519897461,2,20,"Afghanistan",NA
72.3269577026367,36.7423858642578,2,38,"Afghanistan",NA
71.4835891723633,35.714599609375,2,56,"Afghanistan",NA
71.11328125,34.6815948486328,2,74,"Afghanistan",NA
69.8680648803711,33.8976554870605,2,92,"Afghanistan",NA
69.279296875,31.9368171691895,2,110,"Afghanistan",NA
67.5782165527344,31.5064945220947,2,128,"Afghanistan",NA
66.3971710205078,30.9122066497803,2,146,"Afghanistan",NA
64.8273391723633,29.5641593933105,2,164,"Afghanistan",NA
61.5594711303711,30.5993633270264,2,182,"Afghanistan",NA
60.5765647888184,32.994873046875,2,200,"Afghanistan",NA
60.8039093017578,34.4180183410645,2,218,"Afghanistan",NA
61.1066436767578,35.20947265625,2,236,"Afghanistan",NA
61.9838829040527,35.4437026977539,2,254,"Afghanistan",NA
63.1507797241211,35.728271484375,2,272,"Afghanistan",NA
64.6025390625,36.5545425415039,2,290,"Afghanistan",NA
66.5222625732422,37.3484840393066,2,308,"Afghanistan",NA
68.2847671508789,37.0363273620605,2,326,"Afghanistan",NA
69.3538055419922,37.1500473022461,2,344,"Afghanistan",NA
70.3132781982422,37.9848136901855,2,362,"Afghanistan",NA
71.5050811767578,37.6029319763184,2,380,"Afghanistan",NA
73.4813461303711,37.4716796875,2,398,"Afghanistan",NA
74.5242233276367,37.3823738098145,2,416,"Afghanistan",NA
23.9623050689697,-11.9878902435303,3,435,"Angola",NA
21.9789066314697,-13.0009765625,3,453,"Angola",NA
22.9558601379395,-17.2857418060303,3,471,"Angola",NA
19.9118156433105,-17.88134765625,3,489,"Angola",NA
16.5310535430908,-17.3908195495605,3,507,"Angola",NA
13.1794919967651,-16.9716796875,3,525,"Angola",NA
11.7694339752197,-15.9153327941895,3,543,"Angola",NA
13.7842769622803,-11.4879884719849,3,561,"Angola",NA
13.0772457122803,-8.93427753448486,3,579,"Angola",NA
12.7906246185303,-6.00390625,3,597,"Angola",NA
16.0601558685303,-5.86494159698486,3,615,"Angola",NA
17.12158203125,-7.41904306411743,3,633,"Angola",NA
19.1426753997803,-8.00146484375,3,651,"Angola",NA
20.5583972930908,-7.24443340301514,3,669,"Angola",NA
21.9486331939697,-9.7255859375,3,687,"Angola",NA
22.56103515625,-11.0558595657349,3,705,"Angola",NA
12.2065439224243,-5.46826171875,4,724,"Angola","Cabinda"
12.9713869094849,-4.5517578125,4,742,"Angola","Cabinda"
12.2552738189697,-5.74648380279541,4,760,"Angola","Cabinda"
20.5662117004395,41.8736801147461,6,780,"Albania",NA
20.9642581939697,40.8499031066895,6,798,"Albania",NA
20.4080066680908,40.0494613647461,6,816,"Albania",NA
20.0012702941895,39.7094268798828,6,834,"Albania",NA
19.4800777435303,41.2363739013672,6,852,"Albania",NA
19.5445308685303,42.491943359375,6,870,"Albania",NA
20.39794921875,60.0406761169434,7,889,"Finland","Aland Islands"
20.08740234375,60.3534164428711,9,909,"Finland","Aland Islands"
19.7852535247803,60.2133750915527,9,927,"Finland","Aland Islands"
1.43027341365814,42.4978485107422,10,946,"Andorra",NA
53.6896476745605,24.2107906341553,11,965,"United Arab Emirates","Abu al Abyad"
53.4089851379395,24.3079109191895,13,985,"United Arab Emirates","Marawwah"
56.2678718566895,24.86669921875,15,1005,"United Arab Emirates",NA
55.8039054870605,24.63623046875,15,1023,"United Arab Emirates",NA
55.5193367004395,23.885498046875,15,1041,"United Arab Emirates",NA
54.4716796875,22.69873046875,15,1059,"United Arab Emirates",NA
52.2345733642578,23.314453125,15,1077,"United Arab Emirates",NA
51.66455078125,24.2504405975342,15,1095,"United Arab Emirates",NA
54.4988288879395,24.4626941680908,15,1113,"United Arab Emirates",NA
56.1541023254395,25.8484859466553,15,1131,"United Arab Emirates",NA
-64.1053237915039,-54.7216796875,17,1151,"Argentina","Isla de los Estados"
-68.6532211303711,-54.8536148071289,18,1170,"Argentina","Tierra del Fuego"
-68.488525390625,-53.2609367370605,18,1188,"Argentina","Tierra del Fuego"
-65.251953125,-54.6380844116211,18,1206,"Argentina","Tierra del Fuego"
-68.0071258544922,-54.8484382629395,18,1224,"Argentina","Tierra del Fuego"
-62.5415496826172,-22.349609375,20,1244,"Argentina",NA
-59.8924789428711,-24.0935554504395,20,1262,"Argentina",NA
-57.6258277893066,-25.5987319946289,20,1280,"Argentina",NA
-58.1913070678711,-26.6299800872803,20,1298,"Argentina",NA
-57.3912582397461,-27.4304676055908,20,1316,"Argentina",NA
-55.6329078674316,-27.3571300506592,20,1334,"Argentina",NA
-54.677734375,-26.3087882995605,20,1352,"Argentina",NA
-53.7469215393066,-26.0836925506592,20,1370,"Argentina",NA
-54.3270034790039,-27.4235363006592,20,1388,"Argentina",NA
-55.3464851379395,-27.9559574127197,20,1406,"Argentina",NA
-56.0342292785645,-28.5808601379395,20,1424,"Argentina",NA
-57.645751953125,-30.2269535064697,20,1442,"Argentina",NA
-57.9888648986816,-31.6206073760986,20,1460,"Argentina",NA
-58.3759727478027,-33.0718765258789,20,1478,"Argentina",NA
-57.170654296875,-35.3625030517578,20,1496,"Argentina",NA
-57.6456069946289,-38.1696281433105,20,1514,"Argentina",NA
-62.12646484375,-39.3097686767578,20,1532,"Argentina",NA
-63.2128410339355,-41.1524429321289,20,1550,"Argentina",NA
-65.05908203125,-41.9699211120605,20,1568,"Argentina",NA
-63.8928680419922,-42.1246070861816,20,1586,"Argentina",NA
-64.970703125,-42.6663093566895,20,1604,"Argentina",NA
